CUSTOMERNAME,count(ORDERLINENUMBER),Average_Orders_Per_Customer
"Online Diecast Creations Co.",34,32.1408
"Blauer See Auto, Co.",22,32.1408
"Vitachrome Inc.",25,32.1408
"Baane Mini Imports",32,32.1408
"Euro Shopping Channel",259,32.1408
"Danish Wholesale Imports",36,32.1408
"Rovelli Gifts",48,32.1408
"Land of Toys Inc.",49,32.1408
"Motor Mint Distributors Inc.",23,32.1408
"Mini Gifts Distributors Ltd.",180,32.1408
"La Corne D'abondance, Co.",23,32.1408
"Classic Legends Inc.",20,32.1408
"Dragon Souveniers, Ltd.",43,32.1408
"Enaco Distributors",23,32.1408
"Salzburg Collectables",40,32.1408
"Australian Collectors, Co.",55,32.1408
"Reims Collectables",41,32.1408
"Marseille Mini Autos",25,32.1408
"Atelier graphique",7,32.1408
"Signal Gift Stores",29,32.1408
"Corrida Auto Replicas, Ltd",32,32.1408
"Muscle Machine Inc",48,32.1408
"Auto-Moto Classics Inc.",8,32.1408
"Gift Ideas Corp.",19,32.1408
"Lyon Souveniers",20,32.1408
"Alpha Cognac",20,32.1408
"Souveniers And Things Co.",46,32.1408
"Technics Stores Inc.",34,32.1408
"Mini Creations Ltd.",35,32.1408
Toys4GrownUps.com,30,32.1408
"Collectables For Less Inc.",24,32.1408
"Anna's Decorations, Ltd",46,32.1408
"Signal Collectibles Ltd.",15,32.1408
"Oulu Toy Supplies, Inc.",32,32.1408
"Australian Gift Network, Co",15,32.1408
"Boards & Toys Co.",3,32.1408
"Toys of Finland, Co.",30,32.1408
"Heintze Collectables",27,32.1408
"Mini Auto Werke",15,32.1408
FunGiftIdeas.com,26,32.1408
"Gift Depot Inc.",25,32.1408
"L'ordine Souveniers",39,32.1408
"CAF Imports",13,32.1408
"Daedalus Designs Imports",20,32.1408
"Classic Gift Ideas, Inc",21,32.1408
"Iberia Gift Imports, Corp.",15,32.1408
"Toms Spezialitten, Ltd",26,32.1408
"Australian Collectables, Ltd",23,32.1408
"Saveley & Henriot, Co.",41,32.1408
"Mini Classics",26,32.1408
"Super Scale Inc.",17,32.1408
"West Coast Collectables Co.",13,32.1408
"Diecast Collectables",18,32.1408
"Auto Canal Petit",27,32.1408
"Auto Assoc. & Cie.",18,32.1408
"Handji Gifts& Co",36,32.1408
"Clover Collections, Co.",16,32.1408
"Collectable Mini Designs Co.",25,32.1408
"Vida Sport, Ltd",31,32.1408
"Cambridge Collectables Co.",11,32.1408
"Tekni Collectables Inc.",21,32.1408
"Mini Caravy",19,32.1408
"Microscale Inc.",10,32.1408
"The Sharp Gifts Warehouse",40,32.1408
Gifts4AllAges.com,26,32.1408
"Diecast Classics Inc.",31,32.1408
"La Rochelle Gifts",53,32.1408
"Online Mini Collectables",15,32.1408
"Amica Models & Co.",26,32.1408
"Marta's Replicas Co.",27,32.1408
"Bavarian Collectables Imports, Co.",14,32.1408
