CUSTOMERNAME,number_order,Total_order,Rutun_rate
"Online Diecast Creations Co.",0,34,0.0000
"Blauer See Auto, Co.",0,22,0.0000
"Vitachrome Inc.",0,25,0.0000
"Baane Mini Imports",0,32,0.0000
"Euro Shopping Channel",16,259,6.1776
"Danish Wholesale Imports",0,36,0.0000
"Rovelli Gifts",0,48,0.0000
"Land of Toys Inc.",14,49,28.5714
"Motor Mint Distributors Inc.",0,23,0.0000
"Mini Gifts Distributors Ltd.",0,180,0.0000
"La Corne D'abondance, Co.",0,23,0.0000
"Classic Legends Inc.",0,20,0.0000
"Dragon Souveniers, Ltd.",0,43,0.0000
"Enaco Distributors",0,23,0.0000
"Salzburg Collectables",0,40,0.0000
"Australian Collectors, Co.",0,55,0.0000
"Reims Collectables",0,41,0.0000
"Marseille Mini Autos",0,25,0.0000
"Atelier graphique",0,7,0.0000
"Signal Gift Stores",0,29,0.0000
"Corrida Auto Replicas, Ltd",0,32,0.0000
"Muscle Machine Inc",0,48,0.0000
"Auto-Moto Classics Inc.",0,8,0.0000
"Gift Ideas Corp.",0,19,0.0000
"Lyon Souveniers",0,20,0.0000
"Alpha Cognac",0,20,0.0000
"Souveniers And Things Co.",0,46,0.0000
"Technics Stores Inc.",0,34,0.0000
"Mini Creations Ltd.",0,35,0.0000
Toys4GrownUps.com,0,30,0.0000
"Collectables For Less Inc.",0,24,0.0000
"Anna's Decorations, Ltd",0,46,0.0000
"Signal Collectibles Ltd.",0,15,0.0000
"Oulu Toy Supplies, Inc.",0,32,0.0000
"Australian Gift Network, Co",0,15,0.0000
"Boards & Toys Co.",0,3,0.0000
"Toys of Finland, Co.",0,30,0.0000
"Heintze Collectables",0,27,0.0000
"Mini Auto Werke",0,15,0.0000
FunGiftIdeas.com,0,26,0.0000
"Gift Depot Inc.",0,25,0.0000
"L'ordine Souveniers",0,39,0.0000
"CAF Imports",0,13,0.0000
"Daedalus Designs Imports",0,20,0.0000
"Classic Gift Ideas, Inc",0,21,0.0000
"Iberia Gift Imports, Corp.",0,15,0.0000
"Toms Spezialitten, Ltd",0,26,0.0000
"Australian Collectables, Ltd",0,23,0.0000
"Saveley & Henriot, Co.",0,41,0.0000
"Mini Classics",0,26,0.0000
"Super Scale Inc.",0,17,0.0000
"West Coast Collectables Co.",0,13,0.0000
"Diecast Collectables",0,18,0.0000
"Auto Canal Petit",0,27,0.0000
"Auto Assoc. & Cie.",0,18,0.0000
"Handji Gifts& Co",0,36,0.0000
"Clover Collections, Co.",0,16,0.0000
"Collectable Mini Designs Co.",0,25,0.0000
"Vida Sport, Ltd",0,31,0.0000
"Cambridge Collectables Co.",0,11,0.0000
"Tekni Collectables Inc.",0,21,0.0000
"Mini Caravy",0,19,0.0000
"Microscale Inc.",0,10,0.0000
"The Sharp Gifts Warehouse",0,40,0.0000
Gifts4AllAges.com,0,26,0.0000
"Diecast Classics Inc.",0,31,0.0000
"La Rochelle Gifts",0,53,0.0000
"Online Mini Collectables",0,15,0.0000
"Amica Models & Co.",0,26,0.0000
"Marta's Replicas Co.",0,27,0.0000
"Bavarian Collectables Imports, Co.",0,14,0.0000
