CITY,Total_sale
"San Jose",14083
Nashua,12536
Madrid,12001
Madrid,11888
Strasbourg,11740
"San Rafael",11624
NYC,11279
Singapore,10994
Kobenhavn,10469
Versailles,10173
"New Bedford",10067
Nantes,10040
Melbourne,9774
Paris,9720
"San Jose",9661
Brickhaven,9631
Paris,9559
Madrid,9534
"San Rafael",9471
Melbourne,9265
Brickhaven,9246
Brickhaven,9240
Salzburg,9240
Madrid,9218
"San Rafael",9169
"Reggio Emilia",9160
Strasbourg,9048
Paris,8977
Koln,8941
"San Rafael",8936
Lille,8893
"New Haven",8888
Pasadena,8885
Stavern,8844
Singapore,8755
Kobenhavn,8690
Bridgewater,8678
Lyon,8603
Singapore,8595
Madrid,8498
"North Sydney",8470
Brisbane,8449
"Glen Waverly",8427
Torino,8412
"Reggio Emilia",8379
Madrid,8379
Kobenhavn,8375
"North Sydney",8345
Pasadena,8340
Bridgewater,8337
Toulouse,8332
Madrid,8291
Strasbourg,8289
Reims,8284
Dublin,8258
Philadelphia,8257
Torino,8253
Bridgewater,8237
Paris,8209
NYC,8209
"San Jose",8160
NYC,8139
Salzburg,8119
"San Rafael",8078
"San Rafael",8023
"South Brisbane",8015
Torino,8015
"San Rafael",8009
Aaarhus,7975
Madrid,7969
Allentown,7962
Chatswood,7956
Helsinki,7947
NYC,7901
"New Bedford",7886
"Reggio Emilia",7872
"San Rafael",7827
Salzburg,7738
Salzburg,7696
Allentown,7667
Marseille,7650
"White Plains",7620
Marseille,7600
Strasbourg,7597
"San Rafael",7555
Newark,7552
Newark,7544
Madrid,7516
Paris,7499
Madrid,7492
"Reggio Emilia",7474
Paris,7461
Cambridge,7456
Nashua,7421
"San Rafael",7397
NYC,7397
NYC,7381
Sevilla,7381
Philadelphia,7380
Burlingame,7374
NYC,7366
"San Diego",7344
Madrid,7329
"San Jose",7307
Frankfurt,7301
Lyon,7290
Helsinki,7265
Frankfurt,7238
"New Haven",7232
Kobenhavn,7208
NYC,7207
"San Jose",7182
Madrid,7182
Dublin,7181
Kobenhavn,7169
"New Bedford",7154
NYC,7147
NYC,7141
Madrid,7133
Allentown,7119
Oulu,7111
Madrid,7111
Newark,7084
Oulu,7083
Madrid,7083
Newark,7078
"San Rafael",7071
Boston,7060
"San Jose",7048
Madrid,7037
Paris,7024
NYC,7024
Allentown,7021
Singapore,7020
Lyon,7018
Frankfurt,7016
Madrid,6996
NYC,6960
"San Diego",6954
Madrid,6952
Madrid,6950
Koln,6935
"New Bedford",6931
Salzburg,6916
Aaarhus,6914
Nantes,6902
Bridgewater,6897
"New Haven",6894
Madrid,6869
Cambridge,6864
"San Rafael",6863
Strasbourg,6853
Madrid,6847
Melbourne,6834
NYC,6832
Singapore,6826
Boston,6819
"South Brisbane",6817
"San Rafael",6800
"San Rafael",6763
Gensve,6762
Paris,6750
Lille,6748
Brickhaven,6724
NYC,6720
Madrid,6713
"San Rafael",6696
Helsinki,6683
Cambridge,6681
Boston,6658
Madrid,6568
Graz,6563
Kobenhavn,6554
Madrid,6549
Melbourne,6548
Singapore,6541
Singapore,6539
Helsinki,6531
Gensve,6499
Madrid,6491
Toulouse,6491
Cambridge,6485
Melbourne,6483
Barcelona,6483
Singapore,6467
Cambridge,6463
Melbourne,6454
"White Plains",6445
Allentown,6437
Bridgewater,6434
Philadelphia,6434
"San Jose",6434
Burlingame,6434
NYC,6433
"San Rafael",6426
Gensve,6408
"Las Vegas",6401
Versailles,6396
Aaarhus,6394
Madrid,6387
"San Jose",6386
Nantes,6379
Madrid,6377
Paris,6373
Reims,6359
Madrid,6358
Nantes,6353
Kobenhavn,6351
Kobenhavn,6341
"San Rafael",6336
Nashua,6319
Madrid,6311
NYC,6296
Melbourne,6276
NYC,6268
Koln,6266
"San Rafael",6244
Philadelphia,6242
Koln,6232
"Glen Waverly",6209
"Reggio Emilia",6203
Frankfurt,6203
Aaarhus,6186
NYC,6182
NYC,6176
Madrid,6168
Philadelphia,6164
Boston,6154
Aaarhus,6154
Boston,6147
Aaarhus,6145
Chatswood,6135
"New Haven",6120
"San Rafael",6109
Boston,6107
Madrid,6090
Lille,6088
Madrid,6083
Burbank,6075
NYC,6066
"San Jose",6056
Singapore,6034
"San Rafael",6034
"San Rafael",6032
Bridgewater,6023
Nashua,6000
"San Diego",5998
Singapore,5984
Sevilla,5984
Madrid,5981
Paris,5972
Madrid,5967
"San Rafael",5960
Madrid,5958
"New Bedford",5951
Madrid,5951
Madrid,5950
Singapore,5938
Stavern,5933
Salzburg,5927
"New Haven",5920
Singapore,5912
Brisbane,5908
Helsinki,5895
Nantes,5895
NYC,5890
Madrid,5887
Melbourne,5885
Singapore,5875
NYC,5868
Madrid,5857
Gensve,5853
Reims,5849
"North Sydney",5849
Paris,5834
"San Jose",5820
Allentown,5818
Boston,5808
"New Bedford",5803
Nashua,5797
Sevilla,5796
"San Rafael",5781
Paris,5778
Aaarhus,5776
Kobenhavn,5775
Allentown,5773
Lyon,5761
Versailles,5759
Newark,5757
Boston,5753
Burlingame,5748
NYC,5736
NYC,5724
"San Rafael",5721
Philadelphia,5715
Brickhaven,5714
"San Rafael",5704
"New Bedford",5700
Singapore,5698
Paris,5693
"San Rafael",5692
Madrid,5685
NYC,5679
Munich,5677
Paris,5674
Madrid,5670
"Reggio Emilia",5643
Lyon,5615
"San Rafael",5614
"San Rafael",5605
Cambridge,5600
"New Bedford",5598
"South Brisbane",5592
Koln,5590
Salzburg,5589
Madrid,5581
Lyon,5579
NYC,5569
Allentown,5566
Nashua,5566
Lille,5565
Singapore,5559
Madrid,5554
Reims,5552
"North Sydney",5549
"San Rafael",5546
Chatswood,5546
Madrid,5544
Aaarhus,5544
"Reggio Emilia",5532
Frankfurt,5522
Nantes,5511
Burbank,5510
Madrid,5498
Koln,5498
Marseille,5495
Bridgewater,5493
"San Rafael",5492
Bridgewater,5465
Graz,5465
Brickhaven,5465
Madrid,5456
Helsinki,5456
Cambridge,5438
"San Rafael",5434
"San Rafael",5433
Melbourne,5422
"North Sydney",5419
Madrid,5418
Oulu,5413
Nantes,5407
Stavern,5405
Madrid,5400
Stavern,5398
Madrid,5394
Cambridge,5393
Toulouse,5387
Chatswood,5383
NYC,5380
Stavern,5377
Brisbane,5375
Philadelphia,5373
Koln,5357
Lille,5355
Madrid,5348
Singapore,5344
Madrid,5341
Nashua,5341
Nantes,5332
Stavern,5326
Barcelona,5324
Nantes,5318
Allentown,5305
Madrid,5303
Madrid,5303
Chatswood,5296
"South Brisbane",5288
Singapore,5286
Burbank,5285
Chatswood,5284
Bergamo,5279
Madrid,5279
Toulouse,5275
"San Rafael",5274
NYC,5266
Gensve,5260
"New Bedford",5248
Allentown,5247
Torino,5240
NYC,5233
NYC,5223
Nantes,5209
Madrid,5208
"Las Vegas",5203
Salzburg,5203
"Reggio Emilia",5197
Madrid,5196
Pasadena,5193
Toulouse,5193
Madrid,5191
Stavern,5190
Singapore,5190
Helsinki,5182
Brickhaven,5182
Pasadena,5176
Brickhaven,5171
Paris,5168
Nantes,5161
"White Plains",5161
"San Rafael",5161
Burbank,5152
Nashua,5151
"White Plains",5128
Madrid,5127
Madrid,5127
Torino,5126
Reims,5124
NYC,5111
Burlingame,5105
Oulu,5099
"New Bedford",5097
"San Rafael",5094
Barcelona,5090
NYC,5082
"San Rafael",5080
