COUNTRY,Total_sale
USA,14083
USA,12536
Spain,12001
Spain,11888
France,11740
USA,11624
USA,11279
Singapore,10994
Denmark,10469
France,10173
USA,10067
France,10040
Australia,9774
France,9720
USA,9661
USA,9631
France,9559
Spain,9534
USA,9471
Australia,9265
USA,9246
USA,9240
Austria,9240
Spain,9218
USA,9169
Italy,9160
France,9048
France,8977
Germany,8941
USA,8936
France,8893
USA,8888
USA,8885
Norway,8844
Singapore,8755
Denmark,8690
USA,8678
France,8603
Singapore,8595
Spain,8498
Australia,8470
USA,8449
Australia,8427
Italy,8412
Italy,8379
Spain,8379
Denmark,8375
Australia,8345
USA,8340
USA,8337
France,8332
Spain,8291
France,8289
France,8284
Ireland,8258
USA,8257
Italy,8253
USA,8237
France,8209
USA,8209
USA,8160
USA,8139
Austria,8119
USA,8078
USA,8023
Australia,8015
Italy,8015
USA,8009
Denmark,7975
Spain,7969
USA,7962
Australia,7956
Finland,7947
USA,7901
USA,7886
Italy,7872
USA,7827
Austria,7738
Austria,7696
USA,7667
France,7650
USA,7620
France,7600
France,7597
USA,7555
USA,7552
USA,7544
Spain,7516
France,7499
Spain,7492
Italy,7474
France,7461
USA,7456
USA,7421
USA,7397
USA,7397
USA,7381
Spain,7381
USA,7380
USA,7374
USA,7366
USA,7344
Spain,7329
USA,7307
Germany,7301
France,7290
Finland,7265
Germany,7238
USA,7232
Denmark,7208
USA,7207
USA,7182
Spain,7182
Ireland,7181
Denmark,7169
USA,7154
USA,7147
USA,7141
Spain,7133
USA,7119
Finland,7111
Spain,7111
USA,7084
Finland,7083
Spain,7083
USA,7078
USA,7071
USA,7060
USA,7048
Spain,7037
France,7024
USA,7024
USA,7021
Singapore,7020
France,7018
Germany,7016
Spain,6996
USA,6960
USA,6954
Spain,6952
Spain,6950
Germany,6935
USA,6931
Austria,6916
Denmark,6914
France,6902
USA,6897
USA,6894
Spain,6869
USA,6864
USA,6863
France,6853
Spain,6847
Australia,6834
USA,6832
Singapore,6826
USA,6819
Australia,6817
USA,6800
USA,6763
Switzerland,6762
France,6750
France,6748
USA,6724
USA,6720
Spain,6713
USA,6696
Finland,6683
USA,6681
USA,6658
Spain,6568
Austria,6563
Denmark,6554
Spain,6549
Australia,6548
Singapore,6541
Singapore,6539
Finland,6531
Switzerland,6499
Spain,6491
France,6491
USA,6485
Australia,6483
Spain,6483
Singapore,6467
USA,6463
Australia,6454
USA,6445
USA,6437
USA,6434
USA,6434
USA,6434
USA,6434
USA,6433
USA,6426
Switzerland,6408
USA,6401
France,6396
Denmark,6394
Spain,6387
USA,6386
France,6379
Spain,6377
France,6373
France,6359
Spain,6358
France,6353
Denmark,6351
Denmark,6341
USA,6336
USA,6319
Spain,6311
USA,6296
Australia,6276
USA,6268
Germany,6266
USA,6244
USA,6242
Germany,6232
Australia,6209
Italy,6203
Germany,6203
Denmark,6186
USA,6182
USA,6176
Spain,6168
USA,6164
USA,6154
Denmark,6154
USA,6147
Denmark,6145
Australia,6135
USA,6120
USA,6109
USA,6107
Spain,6090
France,6088
Spain,6083
USA,6075
USA,6066
USA,6056
Singapore,6034
USA,6034
USA,6032
USA,6023
USA,6000
USA,5998
Singapore,5984
Spain,5984
Spain,5981
France,5972
Spain,5967
USA,5960
Spain,5958
USA,5951
Spain,5951
Spain,5950
Singapore,5938
Norway,5933
Austria,5927
USA,5920
Singapore,5912
USA,5908
Finland,5895
France,5895
USA,5890
Spain,5887
Australia,5885
Singapore,5875
USA,5868
Spain,5857
Switzerland,5853
France,5849
Australia,5849
France,5834
USA,5820
USA,5818
USA,5808
USA,5803
USA,5797
Spain,5796
USA,5781
France,5778
Denmark,5776
Denmark,5775
USA,5773
France,5761
France,5759
USA,5757
USA,5753
USA,5748
USA,5736
USA,5724
USA,5721
USA,5715
USA,5714
USA,5704
USA,5700
Singapore,5698
France,5693
USA,5692
Spain,5685
USA,5679
Germany,5677
France,5674
Spain,5670
Italy,5643
France,5615
USA,5614
USA,5605
USA,5600
USA,5598
Australia,5592
Germany,5590
Austria,5589
Spain,5581
France,5579
USA,5569
USA,5566
USA,5566
France,5565
Singapore,5559
Spain,5554
France,5552
Australia,5549
USA,5546
Australia,5546
Spain,5544
Denmark,5544
Italy,5532
Germany,5522
France,5511
USA,5510
Spain,5498
Germany,5498
France,5495
USA,5493
USA,5492
USA,5465
Austria,5465
USA,5465
Spain,5456
Finland,5456
USA,5438
USA,5434
USA,5433
Australia,5422
Australia,5419
Spain,5418
Finland,5413
France,5407
Norway,5405
Spain,5400
Norway,5398
Spain,5394
USA,5393
France,5387
Australia,5383
USA,5380
Norway,5377
USA,5375
